mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.540600299835205,0.04421939498048542,0.40024622281392414,0.04573214316661428,10,50,10,0.1,"{'num_leaves': 10, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.827166310861638,0.8305707965251535,0.8406548217133694,0.8327973097000537,0.005727303143005507,2
8.194095929463705,0.022148093564169725,0.38442571957906085,0.008775110653473731,30,100,5,0.001,"{'num_leaves': 30, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.001}",0.6618379394322541,0.6715019504508575,0.676744887202018,0.6700282590283765,0.0061743068576770865,10
11.753438393274942,0.4296275086516999,0.46579845746358234,0.025461981486342843,10,200,5,0.01,"{'num_leaves': 10, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01}",0.786445285871129,0.7870862232934581,0.7981891296619569,0.7905735462755147,0.005391384048134963,4
7.244653622309367,0.1268988982646819,0.4064626693725586,0.007667963180345962,30,50,10,0.01,"{'num_leaves': 30, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.01}",0.7348837141166039,0.7436516302872052,0.7520010153467176,0.7435121199168422,0.00698880522493852,8
12.209645748138428,0.09115424926539083,0.48226181666056317,0.00264489028868161,10,200,-1,0.01,"{'num_leaves': 10, 'n_estimators': 200, 'max_depth': -1, 'learning_rate': 0.01}",0.7873167799260565,0.7887095626475159,0.8000634301694712,0.7920299242476813,0.005708932998606968,3
7.733880837758382,0.2062630063950588,0.4041409492492676,0.011922161087892215,10,100,5,0.01,"{'num_leaves': 10, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01}",0.7462874250951455,0.7501934160803366,0.7595309031650743,0.7520039147801855,0.005556129168392175,7
14.812095403671265,0.4383337022610206,0.5008315245310465,0.025061943920147853,30,200,5,0.1,"{'num_leaves': 30, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1}",0.882731075023861,0.883285665324884,0.8867037466715565,0.8842401623401005,0.0017566688967368392,1
9.627532164255777,0.07815532602493067,0.43407265345255536,0.005843189893319556,20,100,-1,0.01,"{'num_leaves': 20, 'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.01}",0.7689065083106272,0.7734306492949232,0.7830581375660479,0.7751317650571995,0.005901270980233447,6
10.428237040837606,0.16599869008098414,0.4446890354156494,0.010165413298931641,30,100,10,0.01,"{'num_leaves': 30, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.7760606199008979,0.781486807794038,0.790842139621037,0.7827965224386576,0.006105180622332888,5
10.389383713404337,0.14822762487775895,0.41700108846028644,0.0033314790945574995,30,100,10,0.001,"{'num_leaves': 30, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.001}",0.6867481186761814,0.6970308296428707,0.7122254217975831,0.6986681233722117,0.010465301131263932,9
