mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
89.70282872517903,2.219026953900598,0.3057648340861003,0.009434045995971729,0.5,200,5,0.2,0.1,0.5,"{'subsample': 0.5, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8765108184583055,0.8800900569940333,0.8816417572233269,0.8794142108918885,0.0021485202842791086,3
31.394537607828777,0.32231157210925176,0.2496626377105713,0.0028815876327155836,0.7,100,3,0.2,0.1,0.5,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8626150907393433,0.8616046860599199,0.8678319849067209,0.8640172539019947,0.002728779810692509,7
158.8948713938395,7.351698834677218,0.3717532952626546,0.042132338317247074,1,200,5,0.1,0.1,0.7,"{'subsample': 1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.8808989178464968,0.8824948734241644,0.8846619024052818,0.8826852312253143,0.0015421176493721277,2
43.2792534828186,1.3678836277068365,0.2954510847727458,0.015738178552316434,0.7,100,3,0.2,0,0.7,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.7}",0.8650585083901244,0.8652862805886521,0.8657358912680374,0.8653602267489381,0.0002814402444429765,6
75.80227208137512,0.7130208940621873,0.2627561887105306,0.0062335807199646615,1,100,5,0.1,0.2,0.7,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.8551376141714553,0.8596535445241151,0.8634838776692659,0.859425012121612,0.003411177596077045,9
83.69066135088603,1.108120992641784,0.2984449863433838,0.022374874674336964,1,100,7,0.1,0.1,0.5,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8613463317670504,0.8610139867972161,0.8654479001117928,0.8626027395586865,0.002016402278722848,8
198.8184553782145,6.246938026129101,0.31639814376831055,0.008013117046294722,0.7,200,7,0.2,0.2,0.7,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.8730828470014081,0.8718478496506412,0.8753785883922978,0.8734364283481156,0.0014629408377222605,4
123.38318689664204,5.813062690941324,0.26580047607421875,0.019046265072992917,1,200,3,0.2,0.1,1,"{'subsample': 1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 1}",0.8870748792549039,0.888941445158021,0.8900746159255581,0.8886969801128277,0.0012367773693644174,1
29.93628152211507,0.6535091745167526,0.22323878606160483,0.01178824114616776,1,50,3,0.1,0.2,1,"{'subsample': 1, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1}",0.7969373124291954,0.7980730869639994,0.8089104876717373,0.8013069623549773,0.005396461425813193,10
76.77830870946248,2.241647772323549,0.2836875120798747,0.0364241938848913,1,100,5,0.2,0.1,0.7,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.8712156285810511,0.8716293874566335,0.8734714639401873,0.8721054933259573,0.0009805460692850975,5
